"","ID","Skeletonization","Surface feeding","Gall","Hole Feeding","Mining","Margin Feeding","Piercing","Chewing"
"381","381",0,0,0,0,0,0,0,0
"382","382",0,0,0,0,0,0,0,0
"383","383",100,0,0,0,100,0,0,100
"384","384",100,0,0,0,100,0,0,100
"385","385",0,0,0,0,0,0,0,0
"386","386",100,0,0,100,100,0,0,200
"387","387",100,0,0,0,0,0,0,100
"388","388",100,0,0,0,0,0,0,100
"389","389",0,0,0,0,0,0,0,0
"390","390",100,0,0,0,0,0,0,100
"391","391",0,0,0,0,0,0,0,0
"392","392",0,0,0,0,0,0,0,0
"393","393",0,0,0,0,0,0,0,0
"394","394",0,0,0,0,0,0,0,0
"395","395",0,0,0,0,0,0,0,0
"396","396",0,0,100,0,0,0,0,0
"397","397",100,0,0,0,0,0,0,100
"398","398",0,0,100,100,100,0,0,100
"399","399",100,0,0,0,0,0,0,100
"400","400",0,0,0,0,100,0,0,0
"401","401",0,0,0,0,0,0,0,0
"402","402",0,0,0,0,0,0,0,0
"403","403",0,0,0,100,0,0,0,100
"404","404",100,0,100,0,100,0,0,100
"405","405",0,0,0,0,0,0,0,0
"406","406",0,0,100,0,0,0,0,0
"407","407",0,0,0,0,100,0,0,0
"408","408",0,0,0,0,0,0,0,0
"409","409",0,0,0,0,0,0,0,0
"410","410",0,0,0,0,0,0,0,0
"411","411",0,0,0,0,0,0,0,0
"412","412",0,0,0,0,0,0,0,0
"413","413",0,0,0,0,0,0,0,0
"414","414",0,0,0,0,0,0,0,0
"415","415",0,0,0,0,0,0,0,0
"416","416",0,0,0,0,0,0,0,0
"417","417",0,0,0,0,0,0,0,0
"418","418",0,0,0,0,0,0,0,0
"419","419",0,0,0,0,0,0,0,0
"420","420",0,0,0,0,0,0,0,0
"421","421",100,0,0,0,0,0,0,100
"422","422",0,0,100,100,0,0,100,100
"423","423",0,0,0,0,0,0,0,0
"424","424",100,0,0,0,0,0,0,100
"425","425",0,0,0,0,0,0,0,0
"426","426",0,0,100,0,0,0,0,0
"427","427",0,0,0,0,0,0,100,0
"428","428",0,0,0,0,0,0,0,0
"429","429",100,0,100,0,0,0,0,100
"430","430",100,0,0,0,0,0,0,100
"431","431",0,0,0,100,0,0,0,100
"432","432",0,0,100,0,100,0,0,0
"433","433",100,0,0,0,100,0,0,100
"434","434",100,0,0,0,0,0,0,100
"435","435",0,0,0,0,100,0,0,0
"436","436",0,0,100,100,100,0,0,100
"437","437",0,100,0,100,100,0,0,200
"438","438",100,0,0,100,0,0,0,200
"439","439",100,0,0,0,100,0,0,100
"440","440",0,0,100,100,100,0,0,100
"441","441",0,0,100,100,100,0,100,100
"442","442",0,0,0,0,100,0,0,0
"443","443",0,0,100,100,100,0,0,100
"444","444",0,0,100,0,0,0,0,0
"445","445",0,0,0,0,0,0,0,0
"446","446",0,0,0,0,0,0,0,0
"447","447",100,0,0,0,0,0,0,100
"448","448",0,0,0,0,0,0,0,0
"449","449",0,0,0,0,0,0,0,0
"450","450",100,0,100,0,100,0,0,100
"451","451",100,0,100,0,0,0,0,100
"452","452",100,0,100,0,0,0,0,100
"453","453",0,0,0,100,0,0,0,100
"454","454",100,0,0,0,0,0,0,100
"455","455",100,0,0,0,0,0,0,100
"456","456",0,0,0,0,0,0,0,0
"457","457",100,0,0,0,0,0,0,100
"458","458",100,0,100,0,0,0,0,100
"459","459",100,0,0,0,0,0,0,100
"460","460",0,0,0,0,100,0,0,0
"461","461",100,0,0,0,0,0,0,100
"462","462",100,0,0,0,0,0,0,100
"463","463",0,0,0,0,0,0,0,0
"464","464",0,0,0,0,0,0,0,0
"465","465",0,0,0,0,0,0,0,0
"466","466",0,0,0,0,100,0,0,0
"467","467",100,0,0,0,0,0,0,100
"468","468",0,0,0,0,0,0,0,0
"469","469",0,0,0,0,0,0,0,0
"470","470",100,0,100,0,0,0,0,100
"471","471",100,0,0,0,0,0,0,100
"472","472",0,0,0,0,0,0,0,0
"473","473",0,0,0,0,0,0,0,0
"474","474",100,0,0,0,100,0,0,100
"475","475",0,0,0,0,0,0,0,0
"476","476",0,0,100,0,0,0,0,0
"477","477",100,0,0,0,0,0,0,100
"478","478",100,0,0,0,0,0,0,100
"479","479",100,0,0,0,0,0,100,100
"480","480",100,0,100,0,0,0,0,100
"481","481",100,0,0,0,0,0,0,100
"482","482",0,0,100,0,0,0,0,0
"483","483",0,0,0,0,0,0,0,0
"484","484",0,0,0,0,0,0,0,0
"485","485",0,0,0,0,0,0,0,0
"486","486",0,0,0,0,0,0,0,0
"487","487",0,0,100,0,0,0,0,0
"488","488",0,0,0,0,0,0,0,0
"489","489",0,0,0,0,100,0,0,0
"490","490",0,0,100,0,0,0,0,0
"491","491",0,0,100,0,100,0,0,0
"492","492",0,100,100,100,100,0,0,200
"493","493",0,0,0,100,100,0,0,100
"494","494",100,0,100,0,0,0,0,100
"495","495",100,0,0,0,0,0,0,100
"496","496",0,0,100,0,0,0,0,0
"497","497",0,0,0,0,100,0,0,0
"498","498",0,0,0,0,100,0,0,0
"499","499",0,0,0,0,100,0,0,0
"500","500",0,0,0,0,0,0,0,0
"501","501",0,0,100,0,0,0,0,0
"502","502",0,0,0,0,0,0,0,0
"503","503",0,0,0,0,0,0,0,0
"504","504",0,0,0,0,0,0,0,0
"505","505",0,0,0,0,100,0,0,0
"506","506",0,0,0,0,0,0,0,0
"507","507",100,0,100,0,100,0,0,100
"508","508",0,0,100,0,0,0,0,0
"509","509",0,0,100,100,0,0,0,100
"510","510",0,0,0,0,100,0,0,0
"511","511",0,0,100,0,0,0,0,0
"512","512",0,0,100,0,0,0,0,0
"513","513",0,0,100,0,0,0,0,0
"514","514",0,0,0,0,0,0,0,0
"515","515",0,0,0,0,100,0,0,0
"516","516",0,0,0,0,0,0,0,0
"517","517",100,0,0,0,0,0,0,100
"518","518",100,0,100,0,0,0,0,100
"519","519",0,0,0,0,0,0,0,0
"520","520",0,0,100,0,0,0,0,0
"521","521",0,0,100,0,0,0,0,0
"522","522",0,0,0,0,0,0,0,0
